date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:45	4860/4860	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Feb%202019%2010:57:07%20GMT	http://forum.curvefever.com/play.html	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/forum.curvefever.com/play.html	(from )
23:53:45	771/771	---M-Z	200	added ('OK')	text/plain	etag:%228f8-580210cfbd207-gzip%22	http://forum.curvefever.com/robots.txt		(from )
23:53:47	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://forum.curvefever.com/play.html)
23:53:48	469/469	---MCZ	200	added ('OK')	text/css	etag:W/%2226c-54b27223ec7ca-gzip%22	http://forum.curvefever.com/flash_test/test-landing.css	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/forum.curvefever.com/flash_test/test-landing.css	(from http://forum.curvefever.com/play.html)
23:53:48	1111/1111	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c0-54b27223e23b9-gzip%22	http://forum.curvefever.com/flash_test/test-flash.js	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/forum.curvefever.com/flash_test/test-flash.js	(from http://forum.curvefever.com/play.html)
23:53:48	3938/3938	---MCZ	200	added ('OK')	text/css	etag:W/%225afd48e8-f62%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	(from http://forum.curvefever.com/play.html)
23:53:48	19802/19802	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd48ec-4d5a%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	(from http://forum.curvefever.com/play.html)
23:53:50	51787/51787	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%22ca4b-4f5e336d28500%22	http://forum.curvefever.com/cf1_preloader.swf?v=31032014	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/forum.curvefever.com/cf1_preloaderb313.swf	(from http://forum.curvefever.com/play.html)
23:55:53	11538/11538	---M--	200	added ('OK')	image/png	etag:%222d12-54b27223ceb38%22	http://forum.curvefever.com/flash_test/logo.png	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/forum.curvefever.com/flash_test/logo.png	(from http://forum.curvefever.com/flash_test/test-landing.css)
23:55:53	45229/45229	---MC-	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	http://www.google-analytics.com/analytics.js	D:/IDF/%d7%a1%d7%9e%d7%95%d7%a4/Achtung%20Die%20Kurve/CODE/Ahtung-Die-Kurve-RL-DQN/httrack/curve%20fever/www.google-analytics.com/analytics.js	(from http://forum.curvefever.com/play.html)
